date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:44:35	256/256	---MCZ	200	added ('OK')	text/plain	date:Thu,%2007%20May%202026%2012:14:33%20GMT	https://manus.im/robots.txt		(from )
17:44:35	169901/169901	---M-Z	200	added ('OK')	text/html	date:Thu,%2007%20May%202026%2012:14:34%20GMT	https://manus.im/	D:/nexus-ai/manus-reference/manus.im/index.html	(from )
17:44:36	170030/170030	---M-Z	200	added ('OK')	text/html	date:Thu,%2007%20May%202026%2012:14:35%20GMT	https://manus.im/team	D:/nexus-ai/manus-reference/manus.im/team.html	(from https://manus.im/)
17:44:36	128286/128286	---M-Z	200	added ('OK')	text/html	date:Thu,%2007%20May%202026%2012:14:35%20GMT	https://manus.im/pricing	D:/nexus-ai/manus-reference/manus.im/pricing.html	(from https://manus.im/)
17:44:37	169934/169934	---M-Z	200	added ('OK')	text/html	date:Thu,%2007%20May%202026%2012:14:36%20GMT	https://manus.im/?index=1	D:/nexus-ai/manus-reference/manus.im/index2ab3.html	(from https://manus.im/)
17:44:37	217877/217877	---M-Z	200	added ('OK')	text/html	date:Thu,%2007%20May%202026%2012:14:36%20GMT	https://manus.im/features/webapp	D:/nexus-ai/manus-reference/manus.im/features/webapp.html	(from https://manus.im/)
17:44:38	203742/203742	---M-Z	200	added ('OK')	text/html	date:Thu,%2007%20May%202026%2012:14:37%20GMT	https://manus.im/tools/ai-design	D:/nexus-ai/manus-reference/manus.im/tools/ai-design.html	(from https://manus.im/)
17:44:38	436751/436751	---M-Z	200	added ('OK')	text/html	etag:%22656babc3200e768d93cf5cdc1fc4c67f%22	https://events.manus.im/	D:/nexus-ai/manus-reference/events.manus.im/index.html	(from https://manus.im/)
17:44:39	192764/192764	---M-Z	200	added ('OK')	text/html	date:Thu,%2007%20May%202026%2012:14:38%20GMT	https://manus.im/tools/nano-banana-pro-slides	D:/nexus-ai/manus-reference/manus.im/tools/nano-banana-pro-slides.html	(from https://manus.im/)
17:44:40	197142/197142	---M-Z	200	added ('OK')	text/html	date:Thu,%2007%20May%202026%2012:14:39%20GMT	https://manus.im/tools/ai-image-generator	D:/nexus-ai/manus-reference/manus.im/tools/ai-image-generator.html	(from https://manus.im/)
17:44:41	185466/185466	---M-Z	200	added ('OK')	text/html	date:Thu,%2007%20May%202026%2012:14:40%20GMT	https://manus.im/tools/ai-music-generator	D:/nexus-ai/manus-reference/manus.im/tools/ai-music-generator.html	(from https://manus.im/)
